question,answer
I would like advice on the computer network industry?,"Network is learning about principles, protocols, etc. of computer networks, GSM, 3G communication networks. CDMA... System is learning about operating systems, computer architecture, architecture of parallel, distributed computer systems, large computing systems..."
I would like advice on computer networking majors?,"Network is learning about principles, protocols, etc. of computer networks, GSM, 3G communication networks. CDMA... System is learning about operating systems, computer architecture, architecture of parallel, distributed computer systems, large computing systems..."
I asked what do I need to learn about computer networks?,"Network is learning about principles, protocols, etc. of computer networks, GSM, 3G communication networks. CDMA... System is learning about operating systems, computer architecture, architecture of parallel, distributed computer systems, large computing systems..."
 What skills do MMT need to learn?,"Network is learning about principles, protocols, etc. of computer networks, GSM, 3G communication networks. CDMA... System is learning about operating systems, computer architecture, architecture of parallel, distributed computer systems, large computing systems..."
 What skills do you need to learn about computer networking?,"Network is learning about principles, protocols, etc. of computer networks, GSM, 3G communication networks. CDMA... System is learning about operating systems, computer architecture, architecture of parallel, distributed computer systems, large computing systems..."
What skills do majors need to learn?,"Network is learning about principles, protocols, etc. of computer networks, GSM, 3G communication networks. CDMA... System is learning about operating systems, computer architecture, architecture of parallel, distributed computer systems, large computing systems..."
 What skills does the industry need to learn?,"Network is learning about principles, protocols, etc. of computer networks, GSM, 3G communication networks. CDMA... System is learning about operating systems, computer architecture, architecture of parallel, distributed computer systems, large computing systems..."
Please advise on the Computer Network & Communications major,"Network is learning about principles, protocols, etc. of computer networks, GSM, 3G communication networks. CDMA... System is learning about operating systems, computer architecture, architecture of parallel, distributed computer systems, large computing systems..."
Please advise on the Computer Network and Communications major,"Network is learning about principles, protocols, etc. of computer networks, GSM, 3G communication networks. CDMA... System is learning about operating systems, computer architecture, architecture of parallel, distributed computer systems, large computing systems..."
"am planning to major in Computer Networks, what subjects do I need to study?","Network is learning about principles, protocols, etc. of computer networks, GSM, 3G communication networks. CDMA... System is learning about operating systems, computer architecture, architecture of parallel, distributed computer systems, large computing systems..."
What is computer vision?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
What does computer vision learn?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
What subjects do you study in computer vision?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
How computer vision learns,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
How computer vision learns,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
What is the computer vision industry?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
What do computer vision majors learn?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
What subjects do computer vision majors study?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
How does computer vision work?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
How computer vision is learned,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
What is a computer vision major?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
What do computer vision majors learn?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
What subjects do computer vision majors study?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
How do computer vision majors learn?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
How do computer vision majors learn?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
want to ask about the Computer Vision major,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
I want to ask about Computer Vision,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
I want to ask about Computer Vision,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
I want to ask about what subjects do computer vision majors take?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
I want to ask about what subjects will I study in computer vision?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
I want to ask what subjects will I study about computer vision?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
I want to ask about how to major in computer vision?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
I want to ask about how to study computer vision?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
I want to ask about how to learn computer vision?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
"I want to ask about the TGMT major, how will I study?",You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
I am planning to study computer vision. Can I ask what you learned about?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
I am planning to study computer vision. Can I ask what subjects you study?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
What subjects will tgmt study?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
What subjects will computer vision study?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
What subjects will computer vision majors study?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
What subjects will computer vision majors study?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
I would like to ask about the computer vision industry?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
"I asked about TGMT, what do I need to learn?",You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
I asked what do I need to learn about computer vision?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
 What skills do you need to learn in computer vision?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
Please advise on the TGMT major,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
Please advise on computer vision majors,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
I plan to major in computer vision next year. What do I need to learn?,You can view the slides introducing the majors here (https://www.fit.hcmus.edu.vn/vn/Default.aspx?tabid=956).
Teachers and friends let me ask. Can a college system apply for an internship?,Please contact the Student Assistant department tlsv@fit.hcmus.edu.vn for support.
"Teacher, can you tell me about applying for an internship?",Please contact the Student Assistant department tlsv@fit.hcmus.edu.vn for support.
Apply for internship certificate,Please contact the Student Assistant department tlsv@fit.hcmus.edu.vn for support.
"Teacher, please tell me how to make an internship paper?",Please contact the Student Assistant department tlsv@fit.hcmus.edu.vn for support.
How to make an internship paper?,Please contact the Student Assistant department tlsv@fit.hcmus.edu.vn for support.
How to make an internship certificate at the company?,Please contact the Student Assistant department tlsv@fit.hcmus.edu.vn for support.
Please tell me how to make an internship certificate at the company?,Please contact the Student Assistant department tlsv@fit.hcmus.edu.vn for support.
Does the company make internship papers for me or do I do it myself?,Please contact the Student Assistant department tlsv@fit.hcmus.edu.vn for support.
Did the school make the internship papers or did the company do it for me?,Please contact the Student Assistant department tlsv@fit.hcmus.edu.vn for support.
Where can I apply for an internship permit?,Please contact the Student Assistant department tlsv@fit.hcmus.edu.vn for support.
How to contact the student assistant office,Please contact the Student Assistant department tlsv@fit.hcmus.edu.vn for support.
How to contact the student assistant office?,Please contact the Student Assistant department tlsv@fit.hcmus.edu.vn for support.
What is the student assistant office email?,Please contact the Student Assistant department tlsv@fit.hcmus.edu.vn for support.
Please give me the contact information of the student assistant office,Please contact the Student Assistant department tlsv@fit.hcmus.edu.vn for support.
Please give me the contact information of the student assistant office,Please contact the Student Assistant department tlsv@fit.hcmus.edu.vn for support.
What is the contact information for the student assistant office?,Please contact the Student Assistant department tlsv@fit.hcmus.edu.vn for support.
Contact information for the student assistant office,Please contact the Student Assistant department tlsv@fit.hcmus.edu.vn for support.
About visiting GameLoft company,Please see the announcement on the Faculty's website.
When should I visit gameloft company?,Please see the announcement on the Faculty's website.
Can you tell me where to find the company tour schedule?,Please see the announcement on the Faculty's website.
When is the time to visit the company for career training?,Please see the announcement on the Faculty's website.
 See the company tour schedule for career training,Please see the announcement on the Faculty's website.
Where can I see the company tour schedule?,Please see the announcement on the Faculty's website.
Where can I see the career training company tour schedule?,Please see the announcement on the Faculty's website.
visit the company,Please see the announcement on the Faculty's website.
Company tour schedule,Please see the announcement on the Faculty's website.
 Teachers gave me an appointment to visit VNG company,Please see the announcement on the Faculty's website.
Ask about summer internship registration documents.,"For summer internship program, please see the announcement on the department's website for information about summer internships from companies. Regarding the transcript, please ask for it at the training room and then take a photo or scan it to convert it into a soft file, and remember to include a CV with full personal information. As for the internship results, please see the announcement on the Faculty's website."
Ask about the school's summer internship program,"For summer internship program, please see the announcement on the department's website for information about summer internships from companies. Regarding the transcript, please ask for it at the training room and then take a photo or scan it to convert it into a soft file, and remember to include a CV with full personal information. As for the internship results, please see the announcement on the Faculty's website."
Let me ask about the school's summer internship program,"For summer internship program, please see the announcement on the department's website for information about summer internships from companies. Regarding the transcript, please ask for it at the training room and then take a photo or scan it to convert it into a soft file, and remember to include a CV with full personal information. As for the internship results, please see the announcement on the Faculty's website."
How to apply for summer internships at companies?,"For summer internship program, please see the announcement on the department's website for information about summer internships from companies. Regarding the transcript, please ask for it at the training room and then take a photo or scan it to convert it into a soft file, and remember to include a CV with full personal information. As for the internship results, please see the announcement on the Faculty's website."
How can I print my transcript so I can apply for a summer internship at the company?,"For summer internship program, please see the announcement on the department's website for information about summer internships from companies. Regarding the transcript, please ask for it at the training room and then take a photo or scan it to convert it into a soft file, and remember to include a CV with full personal information. As for the internship results, please see the announcement on the Faculty's website."
 Print transcripts for summer internships,"For summer internship program, please see the announcement on the department's website for information about summer internships from companies. Regarding the transcript, please ask for it at the training room and then take a photo or scan it to convert it into a soft file, and remember to include a CV with full personal information. As for the internship results, please see the announcement on the Faculty's website."
Transcript for internship at the company,"For summer internship program, please see the announcement on the department's website for information about summer internships from companies. Regarding the transcript, please ask for it at the training room and then take a photo or scan it to convert it into a soft file, and remember to include a CV with full personal information. As for the internship results, please see the announcement on the Faculty's website."
How to apply for a summer internship?,"For summer internship program, please see the announcement on the department's website for information about summer internships from companies. Regarding the transcript, please ask for it at the training room and then take a photo or scan it to convert it into a soft file, and remember to include a CV with full personal information. As for the internship results, please see the announcement on the Faculty's website."
"Teacher, can you tell me about summer internship registration?","For summer internship program, please see the announcement on the department's website for information about summer internships from companies. Regarding the transcript, please ask for it at the training room and then take a photo or scan it to convert it into a soft file, and remember to include a CV with full personal information. As for the internship results, please see the announcement on the Faculty's website."
Where can I see the results of my summer internship?,"For summer internship program, please see the announcement on the department's website for information about summer internships from companies. Regarding the transcript, please ask for it at the training room and then take a photo or scan it to convert it into a soft file, and remember to include a CV with full personal information. As for the internship results, please see the announcement on the Faculty's website."
"Dear teacher! Can you tell me if there is a summer internship registration open this semester? If so, when can I register?","For summer internship program, please see the announcement on the department's website for information about summer internships from companies. Regarding the transcript, please ask for it at the training room and then take a photo or scan it to convert it into a soft file, and remember to include a CV with full personal information. As for the internship results, please see the announcement on the Faculty's website."
 When does VNG have a recruitment drive?,Please visit the company's recruitment website to see more details. (https://career.vng.com.vn/danh-cho-sinh-vien)
How does VNG recruit staff?,Please visit the company's recruitment website to see more details. (https://career.vng.com.vn/danh-cho-sinh-vien)
Which departments is VNG recruiting?,Please visit the company's recruitment website to see more details. (https://career.vng.com.vn/danh-cho-sinh-vien)
Where is VNG company?,Please visit the company's recruitment website to see more details. (https://career.vng.com.vn/danh-cho-sinh-vien)
What are the benefits when working at VNG?,Please visit the company's recruitment website to see more details. (https://career.vng.com.vn/danh-cho-sinh-vien)
When is VNG's fresher program and how many times a year?,Please visit the company's recruitment website to see more details. (https://career.vng.com.vn/danh-cho-sinh-vien)
What are the standards for applying to be a fresher at VNG?,Please visit the company's recruitment website to see more details. (https://career.vng.com.vn/danh-cho-sinh-vien)
What are the criteria to apply for VNG fresher?,Please visit the company's recruitment website to see more details. (https://career.vng.com.vn/danh-cho-sinh-vien)
What conditions does VNG have to recruit freshers?,Please visit the company's recruitment website to see more details. (https://career.vng.com.vn/danh-cho-sinh-vien)
Are there any special benefits as a fresher at VNG?,Please visit the company's recruitment website to see more details. (https://career.vng.com.vn/danh-cho-sinh-vien)
Faculty timetable,Please refer to the following link. (https://client-college-handbook.herokuapp.com/lich-thi#tkb)
Please let me know the schedule of subjects,Please refer to the following link. (https://client-college-handbook.herokuapp.com/lich-thi#tkb)
Classrooms of subjects?,Please refer to the following link. (https://client-college-handbook.herokuapp.com/lich-thi#tkb)
 Study schedule at Linh Trung,Please refer to the following link. (https://client-college-handbook.herokuapp.com/lich-thi#tkb)
Study schedule at Nguyen Van Cu campus,Please refer to the following link. (https://client-college-handbook.herokuapp.com/lich-thi#tkb)
 Could you please give me the first semester schedule?,Please refer to the following link. (https://client-college-handbook.herokuapp.com/lich-thi#tkb)
Could you please give me the schedule for semester 2?,Please refer to the following link. (https://client-college-handbook.herokuapp.com/lich-thi#tkb)
Could you please give me the 1st semester schedule for the 2019 school year?,Please refer to the following link. (https://client-college-handbook.herokuapp.com/lich-thi#tkb)
 Please give me your second semester account for the 2018 school year,Please refer to the following link. (https://client-college-handbook.herokuapp.com/lich-thi#tkb)
Where can I see the school year account?,Please refer to the following link. (https://client-college-handbook.herokuapp.com/lich-thi#tkb)
Midterm and final exam schedule,Please refer to the following link. (https://client-college-handbook.herokuapp.com/lich-thi#lt)
What is the semester 1 exam schedule?,Please refer to the following link. (https://client-college-handbook.herokuapp.com/lich-thi#lt)
Where can I see this semester's schedule?,Please refer to the following link. (https://client-college-handbook.herokuapp.com/lich-thi#lt)
What is the latest English exam schedule?,Please refer to the following link. (https://client-college-handbook.herokuapp.com/lich-thi#lt)
What is my final exam schedule like?,Please refer to the following link. (https://client-college-handbook.herokuapp.com/lich-thi#lt)
Exam schedule is not clear?,Please refer to the following link. (https://client-college-handbook.herokuapp.com/lich-thi#lt)
When is the official final exam schedule?,Please refer to the following link. (https://client-college-handbook.herokuapp.com/lich-thi#lt)
"Teacher, please tell me about the time of the second exam, the second semester of the college system. I plan to register to volunteer at the end of August but the school has not announced the exam schedule yet.",Please refer to the following link. (https://client-college-handbook.herokuapp.com/lich-thi#lt)
Please give me the midterm and final exam schedule,Please refer to the following link. (https://client-college-handbook.herokuapp.com/lich-thi#lt)
When is the final exam scheduled?,Please refer to the following link. (https://client-college-handbook.herokuapp.com/lich-thi#lt)
When are midterm exams scheduled?,Please refer to the following link. (https://client-college-handbook.herokuapp.com/lich-thi#lt)
Where can I see the midterm and final exam schedule?,Please refer to the following link. (https://client-college-handbook.herokuapp.com/lich-thi#lt)
Where can I see the exact schedule for final and midterm exams?,Please refer to the following link. (https://client-college-handbook.herokuapp.com/lich-thi#lt)
"I want to improve in a certain subject, what is the procedure to register for improvement?",You can refer to the following link. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
"Let me ask, can the college system improve learning?",You can refer to the following link. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
"How do I register for the exam to improve my introductory programming score, when do I register, what do I need to bring, and when can I take the exam again?",You can refer to the following link. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
What should you keep in mind when studying to improve?,You can refer to the following link. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
Is there anything I need to keep in mind to improve my studies?,You can refer to the following link. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
How to register for improvement courses,You can refer to the following link. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
Can I ask what is the real improvement course? And how can I register to study the subject again?,You can refer to the following link. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
Improved application time,You can refer to the following link. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
When do I pay tuition for the improvement course?,You can refer to the following link. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
What are the conditions to learn to improve? and subjects that cannot be improved,You can refer to the following link. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
Can you tell me which subjects cannot be registered for improvement courses?,You can refer to the following link. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
Can previous scores be saved after registering for a course to improve that course?,You can refer to the following link. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
Is the improved learning score the same as the score for that module?,You can refer to the following link. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
"If my grades improve, will I be considered for a study encouragement scholarship?",You can refer to the following link. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
 Improved learning concept,You can refer to the following link. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
Could you please give me the form to register for the improvement course?,You can refer to the following link. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
How many times can I register for the improvement course?,You can refer to the following link. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
Where is the place to receive applications to register for improvement courses?,You can refer to the following link. (https://web.hcmus.edu.vn/images/stories/phong_dao_tao/16-17/hk1/xin_cai_thien_diem.doc)
Issues of academic suspension and academic warning,You can stop by the faculty office - I53 to see if your name is there or not.
"list, suspension, academic warning, sticker, view, students",You can stop by the faculty office - I53 to see if your name is there or not.
Where can I see the list of academic warnings?,You can stop by the faculty office - I53 to see if your name is there or not.
 Where can I see the list of suspensions?,You can stop by the faculty office - I53 to see if your name is there or not.
How do I know if my name is on the academic warning list?,You can stop by the faculty office - I53 to see if your name is there or not.
How do I know if my name is on the suspension list?,You can stop by the faculty office - I53 to see if your name is there or not.
Where is the list of suspensions posted?,You can stop by the faculty office - I53 to see if your name is there or not.
Where is the list of academic warnings posted?,You can stop by the faculty office - I53 to see if your name is there or not.
List of students receiving academic warnings,You can stop by the faculty office - I53 to see if your name is there or not.
List of students suspended from study,You can stop by the faculty office - I53 to see if your name is there or not.
How do I know if I am on the warning or suspension list?,You can stop by the faculty office - I53 to see if your name is there or not.
Where is the list of warnings or suspensions posted?,You can stop by the faculty office - I53 to see if your name is there or not.
"I have a question: if during the school year my training scores are graded poorly, how will that affect me?",I think you should ask the Student Affairs Department because the Student Affairs Department is in charge of this part. Email congtacsinhvien@hcmus.edu.vn or contact directly.
Does a poor training score have any effect?,I think you should ask the Student Affairs Department because the Student Affairs Department is in charge of this part. Email congtacsinhvien@hcmus.edu.vn or contact directly.
Do training scores affect learning outcomes?,I think you should ask the Student Affairs Department because the Student Affairs Department is in charge of this part. Email congtacsinhvien@hcmus.edu.vn or contact directly.
Does a bad drl have any effect?,I think you should ask the Student Affairs Department because the Student Affairs Department is in charge of this part. Email congtacsinhvien@hcmus.edu.vn or contact directly.
Does a poor training score have any effect?,I think you should ask the Student Affairs Department because the Student Affairs Department is in charge of this part. Email congtacsinhvien@hcmus.edu.vn or contact directly.
"This semester I got a bad training score, so I wonder if I'll get a warning or something?",I think you should ask the Student Affairs Department because the Student Affairs Department is in charge of this part. Email congtacsinhvien@hcmus.edu.vn or contact directly.
Will a low training score result in a warning?,I think you should ask the Student Affairs Department because the Student Affairs Department is in charge of this part. Email congtacsinhvien@hcmus.edu.vn or contact directly.
"This year I did not participate in activities and violated some content, and my drl is bad, I wonder if there is anything wrong with me?",I think you should ask the Student Affairs Department because the Student Affairs Department is in charge of this part. Email congtacsinhvien@hcmus.edu.vn or contact directly.
Will violating the rules result in training points being deducted?,I think you should ask the Student Affairs Department because the Student Affairs Department is in charge of this part. Email congtacsinhvien@hcmus.edu.vn or contact directly.
Questions about training points,I think you should ask the Student Affairs Department because the Student Affairs Department is in charge of this part. Email congtacsinhvien@hcmus.edu.vn or contact directly.
wonder drl,I think you should ask the Student Affairs Department because the Student Affairs Department is in charge of this part. Email congtacsinhvien@hcmus.edu.vn or contact directly.
wonder drl,I think you should ask the Student Affairs Department because the Student Affairs Department is in charge of this part. Email congtacsinhvien@hcmus.edu.vn or contact directly.
"I have a few questions about drl, which function room should I ask?",I think you should ask the Student Affairs Department because the Student Affairs Department is in charge of this part. Email congtacsinhvien@hcmus.edu.vn or contact directly.
"I have some questions about the training point, which function room should I ask?",I think you should ask the Student Affairs Department because the Student Affairs Department is in charge of this part. Email congtacsinhvien@hcmus.edu.vn or contact directly.
"If you have questions about training points, which functional room should you ask?",I think you should ask the Student Affairs Department because the Student Affairs Department is in charge of this part. Email congtacsinhvien@hcmus.edu.vn or contact directly.
"drl, does it have any impact on students?",I think you should ask the Student Affairs Department because the Student Affairs Department is in charge of this part. Email congtacsinhvien@hcmus.edu.vn or contact directly.
Do training scores have any impact on students?,I think you should ask the Student Affairs Department because the Student Affairs Department is in charge of this part. Email congtacsinhvien@hcmus.edu.vn or contact directly.
Do training scores have any effect on study scores?,I think you should ask the Student Affairs Department because the Student Affairs Department is in charge of this part. Email congtacsinhvien@hcmus.edu.vn or contact directly.
Wondering how drl and drl affect my learning process?,I think you should ask the Student Affairs Department because the Student Affairs Department is in charge of this part. Email congtacsinhvien@hcmus.edu.vn or contact directly.
"If drl is low, or below average, what kind of punishment will students face?",I think you should ask the Student Affairs Department because the Student Affairs Department is in charge of this part. Email congtacsinhvien@hcmus.edu.vn or contact directly.
"If the training score is low, or below average, what kind of punishment will a student have to face?",I think you should ask the Student Affairs Department because the Student Affairs Department is in charge of this part. Email congtacsinhvien@hcmus.edu.vn or contact directly.
"If drl is rated low, will I be disciplined or anything?",I think you should ask the Student Affairs Department because the Student Affairs Department is in charge of this part. Email congtacsinhvien@hcmus.edu.vn or contact directly.
Will I be warned or suspended from school if I continuously receive low grades from drl?,I think you should ask the Student Affairs Department because the Student Affairs Department is in charge of this part. Email congtacsinhvien@hcmus.edu.vn or contact directly.
"If my training scores are graded poorly or low for one consecutive school year, will I be disciplined by the school?",I think you should ask the Student Affairs Department because the Student Affairs Department is in charge of this part. Email congtacsinhvien@hcmus.edu.vn or contact directly.
Can I re-enroll in the Talent class?,"That's not possible (and the talented bachelor's program will be heavier than the regular program). For more details, please contact PDT."
Can I re-register for the talented class?,"That's not possible (and the talented bachelor's program will be heavier than the regular program). For more details, please contact PDT."
Can I re-register for the talented class?,"That's not possible (and the talented bachelor's program will be heavier than the regular program). For more details, please contact PDT."
Does the summer semester apply to college students?,"Summer semester applies to college students. During the summer semester, you can register for failed subjects and register for new subjects."
" I'm a college student, can I take any subjects this summer?","Summer semester applies to college students. During the summer semester, you can register for failed subjects and register for new subjects."
Does the college have summer semester?,"Summer semester applies to college students. During the summer semester, you can register for failed subjects and register for new subjects."
Does the college have summer semester?,"Summer semester applies to college students. During the summer semester, you can register for failed subjects and register for new subjects."
Does cd have summer semester?,"Summer semester applies to college students. During the summer semester, you can register for failed subjects and register for new subjects."
Does the summer semester apply to college students?,"Summer semester applies to college students. During the summer semester, you can register for failed subjects and register for new subjects."
Does the summer semester apply to college students?,"Summer semester applies to college students. During the summer semester, you can register for failed subjects and register for new subjects."
Do college students have a summer semester program?,"Summer semester applies to college students. During the summer semester, you can register for failed subjects and register for new subjects."
Do college students have a summer semester program?,"Summer semester applies to college students. During the summer semester, you can register for failed subjects and register for new subjects."
Does the summer semester apply to college students?,"Summer semester applies to college students. During the summer semester, you can register for failed subjects and register for new subjects."
"Teacher/teacher, can you tell me if the total credits accumulated in the semester < 8 will result in expulsion???",Forced to drop out of school when not completing tuition obligations on time as prescribed by the school; voluntarily dropping out of school or taking exams for one semester or more; The maximum time to complete the course has expired; received three consecutive academic warnings; be disciplined to the extent of being forced to drop out of school according to current regulations.
What average score is below to be suspended from school?,Forced to drop out of school when not completing tuition obligations on time as prescribed by the school; voluntarily dropping out of school or taking exams for one semester or more; The maximum time to complete the course has expired; received three consecutive academic warnings; be disciplined to the extent of being forced to drop out of school according to current regulations.
When are students forced to drop out of school?,Forced to drop out of school when not completing tuition obligations on time as prescribed by the school; voluntarily dropping out of school or taking exams for one semester or more; The maximum time to complete the course has expired; received three consecutive academic warnings; be disciplined to the extent of being forced to drop out of school according to current regulations.
 In what cases will students be forced to drop out of school?,Forced to drop out of school when not completing tuition obligations on time as prescribed by the school; voluntarily dropping out of school or taking exams for one semester or more; The maximum time to complete the course has expired; received three consecutive academic warnings; be disciplined to the extent of being forced to drop out of school according to current regulations.
Under what circumstances will students be forced to drop out of school?,Forced to drop out of school when not completing tuition obligations on time as prescribed by the school; voluntarily dropping out of school or taking exams for one semester or more; The maximum time to complete the course has expired; received three consecutive academic warnings; be disciplined to the extent of being forced to drop out of school according to current regulations.
 student was forced to drop out of school,Forced to drop out of school when not completing tuition obligations on time as prescribed by the school; voluntarily dropping out of school or taking exams for one semester or more; The maximum time to complete the course has expired; received three consecutive academic warnings; be disciplined to the extent of being forced to drop out of school according to current regulations.
Students are forced to drop out of school,Forced to drop out of school when not completing tuition obligations on time as prescribed by the school; voluntarily dropping out of school or taking exams for one semester or more; The maximum time to complete the course has expired; received three consecutive academic warnings; be disciplined to the extent of being forced to drop out of school according to current regulations.
When are students forced to drop out of school?,Forced to drop out of school when not completing tuition obligations on time as prescribed by the school; voluntarily dropping out of school or taking exams for one semester or more; The maximum time to complete the course has expired; received three consecutive academic warnings; be disciplined to the extent of being forced to drop out of school according to current regulations.
How do I get dropped from school?,Forced to drop out of school when not completing tuition obligations on time as prescribed by the school; voluntarily dropping out of school or taking exams for one semester or more; The maximum time to complete the course has expired; received three consecutive academic warnings; be disciplined to the extent of being forced to drop out of school according to current regulations.
When will you drop out of school?,Forced to drop out of school when not completing tuition obligations on time as prescribed by the school; voluntarily dropping out of school or taking exams for one semester or more; The maximum time to complete the course has expired; received three consecutive academic warnings; be disciplined to the extent of being forced to drop out of school according to current regulations.
When are you forced to drop out of school?,Forced to drop out of school when not completing tuition obligations on time as prescribed by the school; voluntarily dropping out of school or taking exams for one semester or more; The maximum time to complete the course has expired; received three consecutive academic warnings; be disciplined to the extent of being forced to drop out of school according to current regulations.
What is it like to be forced to drop out of school?,Forced to drop out of school when not completing tuition obligations on time as prescribed by the school; voluntarily dropping out of school or taking exams for one semester or more; The maximum time to complete the course has expired; received three consecutive academic warnings; be disciplined to the extent of being forced to drop out of school according to current regulations.
conditions for dismissal,Forced to drop out of school when not completing tuition obligations on time as prescribed by the school; voluntarily dropping out of school or taking exams for one semester or more; The maximum time to complete the course has expired; received three consecutive academic warnings; be disciplined to the extent of being forced to drop out of school according to current regulations.
conditions for forced withdrawal from school,Forced to drop out of school when not completing tuition obligations on time as prescribed by the school; voluntarily dropping out of school or taking exams for one semester or more; The maximum time to complete the course has expired; received three consecutive academic warnings; be disciplined to the extent of being forced to drop out of school according to current regulations.
